X,Y
0.594208,-0.881651
-0.903142,0.404208
-0.529065,0.130314
0.767265,0.700668
0.569265,-0.839195
-0.482376,-0.263888
-0.138127,0.98979
-0.742636,0.694075
-0.664128,-0.723785
0.936414,0.323034
-0.760156,-0.564083
0.504409,-0.776162
0.10101,0.985327
-0.579142,-0.138611
-0.468243,-0.00117317
0.307224,0.950142
0.4509,0.281603
-0.159652,0.4408
0.460396,0.010426
-0.844905,0.492
-0.919923,-0.490666
0.108175,1.10566
0.17906,-0.447636
1.00411,0.127486
-0.419777,-0.943049
0.406161,0.254595
0.464114,0.0558085
-0.355209,-0.403822
0.102453,-0.934026
0.435312,-0.315796
-0.839745,-0.558575
-0.235933,-0.97824
1.08114,-0.182414
-0.386661,0.291828
-0.430677,0.114375
-0.182322,0.954041
0.0706507,-0.579364
0.951105,-0.156566
0.268883,-0.438852
-0.771074,-0.617296
-0.103137,-0.512375
-0.999305,-0.0614922
-0.631412,-0.846705
-0.540406,-0.0374951
-0.304926,0.45589
0.539448,-0.881459
0.0404066,0.991301
-0.802092,-0.281188
0.998574,-0.130324
0.45689,0.215012
0.433455,0.845311
0.200404,0.453726
0.443804,0.383405
-1.02346,-0.0393983
0.152612,-0.510902
-0.182341,-0.432532
0.951203,-0.0846972
0.411618,0.204739
0.32936,0.34458
0.549482,0.0959733
-0.377402,0.362527
0.264796,-0.51584
0.443473,0.091892
-0.630477,0.781605
-0.128639,0.495978
-0.571658,-0.796565
-0.421731,-0.23886
-0.469446,-0.112139
-0.256608,0.928494
0.22454,0.515403
0.402356,0.878238
0.334191,0.348721
0.67332,0.585421
-0.938492,-0.323087
0.360328,-0.280614
-0.0157978,-1.05334
0.674329,0.656518
-0.0602873,0.535598
0.509963,0.0584031
0.242718,0.49782
-0.520099,0.157009
0.231779,-1.03029
-0.0755751,-0.984954
0.449398,-0.949856
0.0124666,-0.98088
0.212844,0.441773
-0.372795,-0.920497
-0.364454,-0.909792
-0.667467,-0.687354
0.340695,-0.325985
0.434796,0.205132
-0.228675,0.492218
-0.439181,0.00803769
0.166283,-0.507333
-0.300287,0.39156
-0.532709,-0.843187
-0.113808,-0.557551
0.502083,0.15323
0.717385,-0.73556
0.0484954,0.4943
0.642519,-0.705189
0.0820328,-0.500649
0.188253,0.331814
-0.901472,0.238768
-0.261778,0.902586
0.442389,0.142919
-0.353989,0.39127
0.478962,-0.0682451
0.82454,-0.53191
0.960655,0.171795
0.362377,0.229329
-0.398262,0.886545
0.436992,-0.306366
-0.0942824,0.533852
0.455473,-0.10896
0.0270876,0.491543
-0.213717,0.374951
0.472125,0.0888133
0.517601,-0.0693537
0.153016,-1.01429
-0.246022,-0.90728
-0.330809,-0.859915
0.161766,-0.486438
0.843589,-0.61651
-0.250303,-0.38879
-0.466414,-0.142046
-0.851759,0.491684
0.0203455,-0.434276
1.03098,-0.258884
0.96724,-0.421062
-0.98371,0.0892182
-0.28847,0.40452
-0.984587,0.0793376
0.124721,0.373096
-0.762055,0.51895
-0.913207,-0.0722803
0.388347,-0.928467
0.272156,0.929537
-0.205653,-1.05745
0.505194,0.889658
-0.484129,0.961848
0.473272,-0.118121
-0.587795,0.803345
-0.833934,0.374721
-0.411978,-0.249109
0.295154,-0.969422
0.894629,0.468937
-0.526074,0.072205
0.198888,-0.445376
-0.313487,0.488027
0.949597,0.417892
0.0910958,-0.914513
0.933572,-0.58248
0.456557,-0.268001
0.698333,0.661536
0.789938,0.538586
-0.72263,0.619024
-0.918671,-0.414147
0.540003,-0.118144
0.953525,-0.497044
0.385022,-0.291944
-0.234254,-0.494745
0.73771,-0.531913
0.268786,-0.354323
0.574471,0.818222
0.675043,-0.731509
-0.716457,-0.546702
-0.481152,0.245832
-0.0438117,0.566432
0.107633,0.494622
0.427449,-0.153926
-0.3985,0.320207
-0.30708,0.375466
0.252104,1.02429
-0.477828,-0.166116
-0.501959,0.190097
